record_id,source,status,record_count,completion,error_count,processed_date
EQ-2073,finance,active,10707,92,0,2026-01-01
EQ-2074,maintenance,active,15226,93,2,2026-04-30
EQ-2075,logistics,active,22339,90,5,2026-02-13
EQ-2076,maintenance,active,22796,94,0,2026-03-02
EQ-2077,maintenance,inactive,20780,73,0,2026-05-02
EQ-2078,finance,active,24288,88,1,2026-02-19
EQ-2079,logistics,active,4242,80,2,2026-01-02
EQ-2080,finance,active,2395,98,2,2026-04-29
EQ-2081,logistics,inactive,22625,70,0,2026-04-29
EQ-2082,logistics,active,20825,84,3,2026-04-24
EQ-2083,finance,inactive,5965,89,5,2026-04-25
EQ-2084,finance,active,9836,81,0,2026-06-13
EQ-2085,finance,active,24131,94,0,2026-01-20
EQ-2086,maintenance,active,5692,84,1,2026-02-05
EQ-2087,maintenance,active,11592,95,0,2026-04-15
EQ-2088,logistics,active,23540,78,0,2026-05-30
EQ-2089,maintenance,inactive,10534,92,0,2026-04-01
EQ-2090,finance,inactive,20517,100,0,2026-05-20
EQ-2091,finance,active,11764,82,1,2026-04-10
EQ-2092,logistics,inactive,21140,96,4,2026-02-02
EQ-2093,logistics,inactive,21811,93,2,2026-01-22
EQ-2094,logistics,inactive,7685,76,0,2026-03-25
EQ-2095,logistics,active,9016,99,0,2026-04-18
EQ-2096,finance,active,8097,96,0,2026-03-31
EQ-2097,logistics,inactive,7282,94,3,2026-03-05
EQ-2098,finance,active,19230,80,0,2026-01-30
EQ-2099,finance,active,20648,81,0,2026-06-05
EQ-2100,finance,active,4292,97,0,2026-03-21
EQ-2101,logistics,inactive,13747,92,5,2026-04-07
EQ-2102,finance,active,4089,93,4,2026-03-04
EQ-2103,logistics,active,2095,95,3,2026-05-25
EQ-2104,maintenance,active,1164,86,1,2026-03-29
EQ-2105,finance,inactive,15814,69,7,2026-06-12
EQ-2106,logistics,active,20932,96,7,2026-03-11
EQ-2107,finance,active,9544,90,0,2026-06-01
EQ-2108,maintenance,active,8740,100,0,2026-04-26
EQ-2109,finance,active,11400,95,0,2026-05-07
EQ-2110,maintenance,active,23726,97,0,2026-06-02
EQ-2111,finance,active,24345,91,0,2026-03-03
EQ-2112,logistics,active,15435,80,0,2026-05-06
EQ-2113,finance,active,22506,79,2,2026-03-20
EQ-2114,logistics,active,11589,91,0,2026-05-21
EQ-2115,maintenance,active,11089,83,0,2026-02-19
EQ-2116,maintenance,active,24952,97,0,2026-02-25
EQ-2117,logistics,inactive,4044,100,1,2026-03-14
EQ-2118,finance,active,4897,86,0,2026-05-17
EQ-2119,maintenance,inactive,21651,92,2,2026-02-02
EQ-2120,finance,active,16436,99,1,2026-05-01
EQ-2121,logistics,active,4488,64,6,2026-05-03
EQ-2122,finance,active,5721,66,1,2026-01-14
EQ-2123,maintenance,active,19036,83,9,2026-01-31
EQ-2124,finance,active,13214,97,0,2026-05-14
EQ-2125,logistics,active,19382,99,9,2026-03-20
EQ-2126,logistics,active,21246,96,6,2026-02-23
EQ-2127,maintenance,active,5879,74,0,2026-01-20
EQ-2128,maintenance,active,10190,93,0,2026-03-01
EQ-2129,logistics,active,21231,90,2,2026-03-09
EQ-2130,logistics,inactive,21971,77,0,2026-02-27
EQ-2131,maintenance,active,20248,72,0,2026-03-20
EQ-2132,finance,active,10714,82,0,2026-06-26
EQ-2133,logistics,inactive,20346,91,1,2026-01-21
EQ-2134,maintenance,active,8251,84,0,2026-01-24
EQ-2135,finance,inactive,9581,92,6,2026-06-22
EQ-2136,logistics,inactive,9864,75,1,2026-04-24
EQ-2137,maintenance,active,16151,94,1,2026-01-24
EQ-2138,maintenance,active,14238,95,4,2026-03-26
EQ-2139,logistics,active,1952,100,3,2026-05-21
EQ-2140,logistics,active,17612,84,7,2026-04-14
EQ-2141,finance,active,6896,99,0,2026-01-14
EQ-2142,logistics,active,7420,91,0,2026-01-14
EQ-2143,maintenance,active,4728,82,4,2026-05-05
EQ-2144,maintenance,active,18799,97,2,2026-03-21
EQ-2145,maintenance,active,15870,80,4,2026-01-30
EQ-2146,finance,active,17424,73,6,2026-03-16
EQ-2147,logistics,active,18813,90,0,2026-04-27
EQ-2148,maintenance,active,3037,93,2,2026-02-04
EQ-2149,maintenance,inactive,9504,88,6,2026-05-10
EQ-2150,finance,active,16794,83,1,2026-06-18
EQ-2151,finance,active,13110,90,0,2026-05-20
EQ-2152,logistics,active,13299,76,2,2026-05-27
EQ-2153,maintenance,inactive,13242,63,2,2026-06-30
EQ-2154,maintenance,active,1963,98,8,2026-05-07
EQ-2155,maintenance,inactive,4017,84,0,2026-04-23
EQ-2156,logistics,active,5808,96,0,2026-06-17
EQ-2157,maintenance,inactive,22043,81,1,2026-04-12
EQ-2158,maintenance,active,21288,95,1,2026-03-23
EQ-2159,logistics,inactive,8442,99,0,2026-01-18
EQ-2160,logistics,inactive,3975,100,2,2026-04-22
EQ-2161,finance,active,1698,69,0,2026-03-18
EQ-2162,maintenance,inactive,8751,83,0,2026-02-07
EQ-2163,logistics,active,20721,97,0,2026-01-21
EQ-2164,finance,active,8358,80,5,2026-02-06
EQ-2165,logistics,active,10175,81,0,2026-04-30
EQ-2166,logistics,active,10552,89,0,2026-05-31
EQ-2167,logistics,active,13355,81,4,2026-02-20
EQ-2168,finance,active,23663,87,0,2026-03-17
EQ-2169,maintenance,inactive,23222,94,0,2026-05-25
EQ-2170,finance,inactive,8290,100,2,2026-03-15
EQ-2171,logistics,active,24373,94,1,2026-06-23
EQ-2172,finance,active,21929,72,0,2026-06-10
EQ-2173,maintenance,inactive,3703,63,0,2026-02-03
EQ-2174,finance,active,12738,88,0,2026-05-19
EQ-2175,logistics,inactive,10421,98,0,2026-05-04
EQ-2176,finance,active,8142,70,7,2026-02-06
EQ-2177,finance,inactive,12735,100,7,2026-05-23
EQ-2178,maintenance,active,22797,81,0,2026-04-05
EQ-2179,finance,active,4300,87,1,2026-04-06
EQ-2180,logistics,active,20741,93,6,2026-03-25
EQ-2181,maintenance,active,22024,98,5,2026-03-19
EQ-2182,logistics,active,4555,100,0,2026-05-07
EQ-2183,maintenance,inactive,23572,72,0,2026-06-21
EQ-2184,finance,active,22210,96,0,2026-04-17
EQ-2185,maintenance,active,23369,88,6,2026-01-09
EQ-2186,maintenance,active,23218,100,4,2026-01-26
EQ-2187,maintenance,inactive,6969,94,0,2026-03-12
EQ-2188,finance,inactive,21777,98,0,2026-02-24
EQ-2189,logistics,inactive,19250,64,0,2026-02-02
EQ-2190,maintenance,inactive,11516,92,1,2026-03-01
EQ-2191,finance,inactive,5009,93,0,2026-02-07
EQ-2192,logistics,inactive,1236,69,4,2026-02-03
EQ-2193,maintenance,inactive,2467,93,0,2026-03-09
EQ-2194,maintenance,active,12613,70,0,2026-04-25
EQ-2195,logistics,active,24580,91,6,2026-01-12
EQ-2196,finance,inactive,2743,91,0,2026-01-08
EQ-2197,finance,inactive,3158,89,0,2026-04-24
EQ-2198,finance,active,21494,73,0,2026-06-09
EQ-2199,logistics,active,15617,87,1,2026-03-17
EQ-2200,logistics,active,22079,97,0,2026-06-17
