record_id,source,status,error_count
EQ-1170,logistics,active,4
EQ-1171,maintenance,active,0
EQ-1172,finance,active,5
EQ-1173,maintenance,active,5
EQ-1174,maintenance,active,0
EQ-1175,finance,inactive,1
EQ-1176,finance,inactive,1
EQ-1177,finance,active,0
EQ-1178,maintenance,active,0
EQ-1179,finance,active,3
EQ-1180,logistics,active,0
EQ-1181,maintenance,active,1
EQ-1182,maintenance,active,0
EQ-1183,logistics,active,0
EQ-1184,maintenance,active,0
EQ-1185,finance,active,0
EQ-1186,maintenance,inactive,0
EQ-1187,maintenance,active,4
EQ-1188,finance,active,1
EQ-1189,finance,active,7
EQ-1190,finance,inactive,3
EQ-1191,maintenance,active,4
EQ-1192,logistics,active,0
EQ-1193,maintenance,active,3
EQ-1194,finance,active,8
EQ-1195,finance,inactive,7
EQ-1196,logistics,inactive,2
EQ-1197,maintenance,inactive,5
EQ-1198,maintenance,active,1
EQ-1199,logistics,active,4
EQ-1200,logistics,active,0
