record_id,source,status,record_count,completion,error_count,processed_date
EQ-45003,maintenance,active,8250,100,0,2026-02-01
EQ-45078,maintenance,retired,7600,98,0,2026-03-23
EQ-45091,logistics,active,15975,88,2,2026-04-12
EQ-45082,logistics,active,12075,90,2,2026-06-22
EQ-45186,finance,inactive,9075,80,2,2026-01-27
EQ-45020,maintenance,active,7000,92,2,2026-02-07
EQ-45017,maintenance,active,4400,92,1,2026-03-16
EQ-45070,maintenance,inactive,4500,89,1,2026-05-17
EQ-45039,maintenance,active,6375,99,1,2026-05-27
EQ-45182,finance,inactive,7150,86,2,2026-03-18
EQ-45023,maintenance,active,6825,94,1,2026-03-05
EQ-45173,finance,active,6975,91,2,2026-05-16
EQ-45072,maintenance,inactive,11325,88,1,2026-06-27
EQ-45040,maintenance,active,4825,100,0,2026-02-24
EQ-45051,maintenance,active,10700,84,3,2026-06-06
EQ-45187,finance,inactive,10150,91,0,2026-05-07
EQ-45080,maintenance,retired,8475,93,0,2026-02-01
EQ-45158,finance,active,9800,92,1,2026-01-06
EQ-45138,logistics,inactive,12450,82,2,2026-05-16
EQ-45057,maintenance,inactive,8650,83,1,2026-02-10
EQ-45118,logistics,active,12900,97,0,2026-04-16
EQ-45058,maintenance,inactive,7150,90,1,2026-06-03
EQ-45154,finance,active,7575,100,0,2026-03-21
EQ-45088,logistics,active,14850,97,1,2026-04-27
EQ-45152,finance,active,9700,83,4,2026-01-23
EQ-45184,finance,inactive,8675,84,2,2026-02-03
EQ-45130,logistics,inactive,12000,87,0,2026-01-18
EQ-45155,finance,active,11125,89,2,2026-06-26
EQ-45025,maintenance,active,4600,98,0,2026-03-09
EQ-45105,logistics,active,14600,92,2,2026-03-05
EQ-45181,finance,inactive,7025,74,5,2026-02-07
EQ-45002,maintenance,active,9200,100,0,2026-03-30
EQ-45114,logistics,active,12425,94,1,2026-04-30
EQ-45010,maintenance,active,4525,100,0,2026-06-14
EQ-45060,maintenance,inactive,8575,90,0,2026-03-14
EQ-45069,maintenance,inactive,4825,80,2,2026-05-29
EQ-45192,finance,inactive,8925,78,4,2026-02-22
EQ-45085,logistics,active,15775,98,1,2026-03-31
EQ-45001,maintenance,active,10875,94,1,2026-02-22
EQ-45028,maintenance,active,9400,96,1,2026-01-18
EQ-45008,maintenance,active,11425,98,1,2026-01-31
EQ-45174,finance,active,11950,93,1,2026-04-27
EQ-45136,logistics,inactive,17700,82,2,2026-04-24
EQ-45066,maintenance,inactive,7650,92,0,2026-02-13
EQ-45077,maintenance,retired,10750,91,2,2026-02-02
EQ-45113,logistics,active,11750,99,0,2026-05-03
EQ-45048,maintenance,active,4050,93,1,2026-06-23
EQ-45013,maintenance,active,11025,83,4,2026-06-02
EQ-45117,logistics,active,11700,95,1,2026-05-11
EQ-45188,finance,inactive,11425,78,3,2026-04-11
EQ-45049,maintenance,active,4875,94,1,2026-02-05
EQ-45059,maintenance,inactive,7525,93,0,2026-05-29
EQ-45108,logistics,active,15625,97,0,2026-06-15
EQ-45175,finance,inactive,10175,86,1,2026-01-13
EQ-45030,maintenance,active,9075,100,0,2026-05-13
EQ-45169,finance,active,7600,93,2,2026-04-17
EQ-45176,finance,inactive,8125,72,5,2026-05-10
EQ-45172,finance,active,10800,92,2,2026-03-19
EQ-45074,maintenance,retired,8625,98,0,2026-05-17
EQ-45042,maintenance,active,8100,91,2,2026-04-27
EQ-45046,maintenance,active,8225,97,1,2026-02-07
EQ-45004,maintenance,active,8925,99,0,2026-04-10
EQ-45142,logistics,retired,15950,81,4,2026-03-09
EQ-45026,maintenance,active,5800,92,1,2026-05-07
EQ-45199,finance,retired,11700,77,5,2026-06-16
EQ-45053,maintenance,active,5225,98,0,2026-01-12
EQ-45033,maintenance,active,4750,97,1,2026-06-23
EQ-45035,maintenance,active,9275,95,2,2026-05-28
EQ-45068,maintenance,inactive,9225,82,2,2026-05-27
EQ-45054,maintenance,active,4700,100,0,2026-06-03
EQ-45156,finance,active,10625,80,4,2026-04-04
EQ-45022,maintenance,active,8025,93,1,2026-04-25
EQ-45129,logistics,inactive,12825,79,2,2026-04-09
EQ-45151,finance,active,11200,84,3,2026-02-08
EQ-45052,maintenance,active,7925,99,1,2026-02-16
EQ-45092,logistics,active,17900,87,4,2026-05-26
EQ-45189,finance,inactive,10950,75,3,2026-04-09
EQ-45128,logistics,inactive,18250,84,1,2026-03-08
EQ-45147,logistics,retired,17675,95,0,2026-02-18
EQ-45166,finance,active,10000,93,2,2026-04-25
EQ-45194,finance,retired,11425,87,3,2026-01-16
EQ-45167,finance,active,8475,87,4,2026-01-31
EQ-45124,logistics,inactive,17825,85,1,2026-06-08
EQ-45090,logistics,active,15800,81,5,2026-02-17
EQ-45164,finance,active,11375,90,2,2026-04-17
EQ-45131,logistics,inactive,11075,93,0,2026-05-14
EQ-45110,logistics,active,15650,94,2,2026-02-16
EQ-45170,finance,active,9650,93,2,2026-03-28
EQ-45144,logistics,retired,11175,94,1,2026-05-30
EQ-45031,maintenance,active,7400,97,0,2026-06-28
EQ-45133,logistics,inactive,14250,83,2,2026-06-14
EQ-45012,maintenance,active,4700,95,1,2026-06-22
EQ-45014,maintenance,active,10950,100,0,2026-05-12
EQ-45089,logistics,active,10550,96,1,2026-04-27
EQ-45065,maintenance,inactive,10650,92,0,2026-04-25
EQ-45178,finance,inactive,6725,87,0,2026-06-27
EQ-45115,logistics,active,12000,98,1,2026-05-10
EQ-45134,logistics,inactive,10650,83,2,2026-03-25
EQ-45009,maintenance,active,8075,97,0,2026-03-21
EQ-45021,maintenance,active,9150,94,1,2026-04-04
EQ-45179,finance,inactive,10250,79,2,2026-05-12
EQ-45036,maintenance,active,6900,90,3,2026-06-18
EQ-45171,finance,active,6600,84,4,2026-05-03
EQ-45141,logistics,retired,17575,88,2,2026-01-09
EQ-45086,logistics,active,16450,98,1,2026-02-17
EQ-45109,logistics,active,15300,91,2,2026-06-22
EQ-45062,maintenance,inactive,10250,84,2,2026-01-21
EQ-45185,finance,inactive,10150,69,5,2026-04-12
EQ-45200,finance,retired,9575,92,2,2026-02-14
EQ-45045,maintenance,active,7650,88,2,2026-03-26
EQ-45018,maintenance,active,7025,93,1,2026-04-15
EQ-45099,logistics,active,17400,100,0,2026-03-11
EQ-45123,logistics,inactive,12675,79,3,2026-06-11
EQ-45106,logistics,active,10850,93,1,2026-03-08
EQ-45160,finance,active,7675,91,3,2026-04-27
EQ-45101,logistics,active,15725,100,0,2026-01-25
EQ-45120,logistics,active,10650,99,1,2026-03-27
EQ-45056,maintenance,active,4675,97,1,2026-02-07
EQ-45041,maintenance,active,10650,92,1,2026-02-24
EQ-45163,finance,active,8075,80,4,2026-01-27
EQ-45165,finance,active,10725,86,4,2026-03-18
EQ-45096,logistics,active,13075,100,0,2026-02-12
EQ-45119,logistics,active,16200,89,3,2026-05-02
EQ-45038,maintenance,active,7850,97,0,2026-05-11
EQ-45168,finance,active,8850,87,3,2026-02-16
EQ-45195,finance,retired,7175,88,3,2026-06-26
EQ-45083,logistics,active,13600,93,1,2026-01-12
EQ-45127,logistics,inactive,14250,81,2,2026-05-02
EQ-45139,logistics,inactive,10600,75,3,2026-06-11
EQ-45140,logistics,inactive,10525,77,3,2026-06-11
EQ-45135,logistics,inactive,16200,86,2,2026-06-23
EQ-45061,maintenance,inactive,6975,81,2,2026-02-02
EQ-45190,finance,inactive,6575,81,3,2026-05-29
EQ-45095,logistics,active,13175,98,0,2026-06-13
EQ-45150,logistics,retired,18075,100,0,2026-03-01
EQ-45006,maintenance,active,5275,97,1,2026-05-24
EQ-45034,maintenance,active,4850,100,0,2026-02-21
EQ-45084,logistics,active,12575,94,1,2026-06-29
EQ-45044,maintenance,active,5725,97,1,2026-04-18
EQ-45196,finance,retired,9450,92,2,2026-05-13
EQ-45050,maintenance,active,9150,100,0,2026-01-08
EQ-45016,maintenance,active,10950,97,1,2026-03-15
EQ-45011,maintenance,active,5500,91,3,2026-06-17
EQ-45015,maintenance,active,4575,96,1,2026-06-15
EQ-45055,maintenance,active,9350,95,1,2026-05-10
EQ-45146,logistics,retired,14275,89,1,2026-03-11
